conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 0
1752478991825711108,Tue Jan 30 23:52:23 +0000 2024,1,Ngakalin sistem zonasi tuh pindah ke kartu keluarga orang. Kalau ini kan dia pindah alamat karena emang rumahnya pindah ke rumah dinas.,1752479906083262878,,mrsimple12341,in,,0,0,0,https://x.com/mrsimple12341/status/1752479906083262878,1513606435099217923,mrsimple12341,
1752478319390707915,Tue Jan 30 23:50:36 +0000 2024,0,*gejala tipes deng TAPI MANEHNA IEU NU NERAPKEUN ZONASI MANEHNA NU NGELANGGAR??? EDAAAN SUMPAH CUKUP TAU LAH PAK,1752479457317933275,,chezmooii,in,,0,0,0,https://x.com/chezmooii/status/1752479457317933275,798349924836356096,chezmooii,
1752478991825711108,Tue Jan 30 23:50:21 +0000 2024,1,Gue tau persis KTPnya emang Jl. Cicendo no. 1. Dan pindah domisilinya sah bukan ngakalin sistem zonasi,1752479393254138224,,mrsimple12341,in,,0,1,0,https://x.com/mrsimple12341/status/1752479393254138224,1513606435099217923,mrsimple12341,
1752478319390707915,Tue Jan 30 23:49:36 +0000 2024,0,ajig inget pisan aing mau masuk smp di kota ge hese kabina2 gara2 zonasi walopun sm temen pph ditawarin pindah kk biar jaraknya ga jauh tp kita gamau. ga boong aing sampe ka tipes ajig pas mau masuk smp mah pas sma ainh ceurik2 di depan leptop liat pemeringkatan turun,1752479204640514254,,chezmooii,in,,0,1,0,https://x.com/chezmooii/status/1752479204640514254,798349924836356096,chezmooii,
1752478991825711108,Tue Jan 30 23:48:45 +0000 2024,1,Dulu aku temenan sama anaknya yang cowo jadi tau sedikit banyaknya. Pindah zonasi karena emang doi pindah dari Cigadung ke Rumah Dinas (Gedung Pakuan jl Cicendo). Anak2 Gubernur2 (Aher) sebelumnya juga waktu bapaknya jadi gubernur mereka pindah zonasi ke rumah dinas,1752478991825711108,,,in,,0,1,0,https://x.com/mrsimple12341/status/1752478991825711108,1513606435099217923,mrsimple12341,
1752237596024156628,Tue Jan 30 23:48:09 +0000 2024,5,@rowtoen @ontajenius Dulu aku temenan sama anaknya yang cowo jadi tau sedikit banyaknya. Pindah zonasi karena emang doi pindah dari Cigadung ke Rumah Dinas (Gedung Pakuan jl Cicendo). Anak2 Gubernur2 (Aher) sebelumnya juga waktu bapaknya jadi gubernur mereka pindah zonasi ke rumah dinas,1752478838683275343,,1308naapage,in,,1,1,1,https://x.com/mrsimple12341/status/1752478838683275343,1513606435099217923,mrsimple12341,
1752476489097056579,Tue Jan 30 23:38:49 +0000 2024,0,gw sebel bgt sama sistem zonasi ini udah ga masuk akal bgt yg keterima tuh yg jaraknya 500m an sedangkan di sekolah tsb ga padat penduduk. anak-anak pun ga mikirin nilai harus gede atau apa soalnya ortunya udah ngakalin pindah KK dari jauh jauh hari,1752476489097056579,,,in,,0,0,0,https://x.com/beautifullsun6/status/1752476489097056579,1285141959149944832,beautifullsun6,
1752237596024156628,Tue Jan 30 23:33:46 +0000 2024,0,@ontajenius Emang kalau zonasi masih ada sekolah favorit ya? Cuma tanya gak usah salty,1752475221037334957,,ontajenius,in,,0,0,0,https://x.com/NimangSoraya/status/1752475221037334957,1507154979467165698,NimangSoraya,
1752472468403728566,Tue Jan 30 23:22:50 +0000 2024,0,Gue skrg mulai bingung juga klo ntar adek mau sma tp zonasi lagi. Walaupun dr rumah ke sma yg favorit itu cm 1 5km tp saingannya banyak yg dr luar kota dan numpang kk ke yg lain,1752472468403728566,,,in,Chungmanirat's,0,0,0,https://x.com/muenfahteerak/status/1752472468403728566,1409516862380015619,muenfahteerak,
1752448417970962883,Tue Jan 30 21:47:16 +0000 2024,0,Zonasi tidak berguna,1752448417970962883,,,in,,0,0,0,https://x.com/liliihadid/status/1752448417970962883,2833590194,liliihadid,
1752237596024156628,Tue Jan 30 21:44:40 +0000 2024,0,@ontajenius sistem zonasi nyusahin bgt sih kasian yg rumabnya jauh dr sekolahan gamasuk mana mana dannmau gamau swatsa https://t.co/rzWpIJT0NY,1752447762208354736,,ontajenius,in,,0,0,0,https://x.com/terjiminjimim/status/1752447762208354736,840051113437028353,terjiminjimim,
1752427626680201427,Tue Jan 30 20:24:39 +0000 2024,0,Tai emng zonasi,1752427626680201427,,,in,134340,0,0,0,https://x.com/syudubu/status/1752427626680201427,1316354973307793408,syudubu,
1752237596024156628,Tue Jan 30 19:55:49 +0000 2024,0,@lalalamoonie_ @ontajenius Susah kalo sistem zonasi ya anak2 situ dulu yang didahuluin walau nem masuk di bandung zonasi udh jalan brp tahun tp sekolah favorite masih itu2 aja:(,1752420371272458751,,lalalamoonie_,in,,0,0,0,https://x.com/sarenghaeo/status/1752420371272458751,609734754,sarenghaeo,
1752398904124170385,Tue Jan 30 18:30:31 +0000 2024,1,Gila ya baca-baca soal zonasi GUE BERUNTUNG BANGET MASUK SEKOLAH NEGERI PALING BAGUS DI DEPOK JAUH SEBELUM ZONASI. Kalau gue kena zonasi masuknya ke sekolah preman yang deket kandang ayam. Padahal masa SMA cukup penting banget buat pembentukan mindset ke depannya.,1752398904124170385,,,in,,0,0,0,https://x.com/ishtarinthesky/status/1752398904124170385,1248727157494276096,ishtarinthesky,
