"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796313138423587022","Thu May 30 22:50:00 +0000 2024","0","DPRD Kota Cirebon Minta Pengawasan PPDB Sistem Zonasi 2024 Diperketat https://t.co/4d3hfeGXfz #PPDB2024 #Ciayumajakuning #Cirebon","1796313138423587022","","","in","Under the SUN","0","0","0","https://x.com/Sudastika/status/1796313138423587022","341158195","Sudastika"
"1796168994874912818","Thu May 30 13:17:14 +0000 2024","0","gue sebel bgt sistem zonasi ini udah bener pake nilai UN/ujian disekolah kaya tes. ini adek gue mau sekolah jadi mumet urusannya","1796168994874912818","","","in","","0","0","0","https://x.com/aphrosites/status/1796168994874912818","1258818325481578496","aphrosites"
"1796165938552910316","Thu May 30 13:05:05 +0000 2024","0","Cermati Perubahan Kebijakan pada Aturan PPDB Sistem Zonasi 2024 https://t.co/4Ni3vpi3Mj","1796165938552910316","","","in","Indonesia","0","0","1","https://x.com/kompasiana/status/1796165938552910316","23786106","kompasiana"
"1796124218385379732","Thu May 30 10:28:43 +0000 2024","0","@favoojekey aamiin bgttt walaupun agak takut jg sihh disini itunya sistem zonasi kan ","1796126588507189724","","favoojekey","in","21 & i'm a tks. ","0","1","0","https://x.com/taejungrn/status/1796126588507189724","1064154183207542785","taejungrn"
"1796068955087331344","Thu May 30 06:39:42 +0000 2024","0","Kenapa sih harus ada sistem zonasi Mz Nadiem?","1796068955087331344","","","in","Tangerang, Indonesia","0","0","0","https://x.com/selviadwira/status/1796068955087331344","74465741","selviadwira"
"1796024358558679314","Thu May 30 03:42:30 +0000 2024","0","Sistem pendidikan di negeri konoha.. Setujukah kalian kl sistem zonasi dihapus Zonasi bs dijadikan celah oknum utk jual beli kursi bahkan diskolah negeri..gmn nasib siswa yg jarak na antara jauh-tidak(nanggung).. @Kemdikbud_RI Lihat video omaga! #TikTok https://t.co/qjJ5zWxawk","1796024358558679314","","","in","Indonesia","0","0","0","https://x.com/TuangWae/status/1796024358558679314","1683276762778836993","TuangWae"
"1795672816068776293","Wed May 29 22:40:44 +0000 2024","0","@ARSIPAJA sekolah saja sistem zonasi.. masa ini gak zonasi juga... maksudnya jadi kades aja dulu","1795948419225407774","","ARSIPAJA","in","banyuwangi","0","0","0","https://x.com/alf_iyan/status/1795948419225407774","66208269","alf_iyan"
"1795710360689033688","Wed May 29 06:54:47 +0000 2024","0","Pejabat Gubernur Jawa Tengah Nana Sudjana mendorong pemerataan kualitas sekolah untuk mendukung suksesnya sistem zonasi pada Penerimaan Peserta Didik Baru (PPDB) SMA/ SMK di wilayahnya. https://t.co/RK6zjUOqxy","1795710360689033688","","","in","Jakarta - Indonesia","0","0","0","https://x.com/mediaindonesia/status/1795710360689033688","68930552","mediaindonesia"
"1795701378352021521","Wed May 29 06:19:05 +0000 2024","0","Penjabat Gubernur Jawa Tengah Nana Sudjana mendorong pemerataan kualitas sekolah untuk mendukung suksesnya sistem zonasi pada PPDB SMA/SMK. https://t.co/LizB2yIpMo #PemprovJateng #PPDBSMASMK #JawaTengah","1795701378352021521","","","in","Surabaya","0","0","0","https://x.com/ngopibareng_id/status/1795701378352021521","1291246080269545472","ngopibareng_id"
"1795640110467477629","Wed May 29 02:15:38 +0000 2024","1","Mengajar kelas yang heterogen tingkat kecerdasan muridnya itu lebih sulit daripada mengajar di kelas yang siswanya cerdas semua atau bodoh semua. Yang bikin sistem zonasi nggak tahu cara dan rasanya mengajar. https://t.co/dGx837Lqiy https://t.co/d3cfZBwDP3","1795640110467477629","https://pbs.twimg.com/media/GOtlKgtaYAA9Vp6.jpg","","in","","0","0","0","https://x.com/amatbejo_/status/1795640110467477629","1431943911749029891","amatbejo_"
