"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861321775738425384","Wed Nov 27 22:19:25 +0000 2024","0","@kompascom Sebaiknya sistem zonasi di hapus saja biarkan Ada kompetisi edukasi sehat bagi siswa biar lebih giat belajar.. biar tidak selalu fokus thdp gedget mulu ","1861897646606336505","","kompascom","in","jakarta","0","0","0","https://x.com/abas_jo/status/1861897646606336505","3238948560","abas_jo"
"1861756752783614272","Wed Nov 27 20:29:49 +0000 2024","0","@AgusMagelangan @citogog @gus_dibyo ojo mengko nggo sistem zonasi maine","1861870062552113550","","AgusMagelangan","in","Sleman","0","0","0","https://x.com/kingheh0/status/1861870062552113550","992411452173516801","kingheh0"
"1861815976016355734","Wed Nov 27 16:54:54 +0000 2024","0","dmpk dri kebanyakan bikin aturan tpi gadipeduliin pemerataan fasilitasnya sklh di desa tiap kecamatan aja secuil udh nerapin nya sistem zonasi baca gbsa di tuntut literasi kiblatnya jgn dlu finlandia tpi melupakan keadaan penduduk asli negaranya","1861815976016355734","","","in","","0","0","0","https://x.com/rhintik_s/status/1861815976016355734","1613397862746054656","rhintik_s"
"1861794995721965788","Wed Nov 27 15:35:08 +0000 2024","0","@ROSIEEEEmp pacarannya sistem zonasi anjing wkwkwkak","1861795903298003172","","soksiibuk","in","snd","0","1","0","https://x.com/kotabim/status/1861795903298003172","2759011666","kotabim"
"1861745931890438506","Wed Nov 27 12:16:34 +0000 2024","1","Menteri Pendidikan Dasar dan Menengah Abdul Mu'ti Lakukan Evaluasi Sistem Zonasi #beritanasional #rabu #abdulmuti #kemendikdasmen #sistemzonasi #pelajar #sekolah https://t.co/Qvd6UTFuCl","1861745931890438506","https://pbs.twimg.com/ext_tw_video_thumb/1861745808909213696/pu/img/5VLeoyUJWUaTub1W.jpg","","in","","0","0","0","https://x.com/NasionalBerita_/status/1861745931890438506","1769451991124832257","NasionalBerita_"
"1861731297439465577","Wed Nov 27 11:39:26 +0000 2024","0","@Kemdikdasmen @GuruDikdas_GTK @gtkdikmendiksus @PAUDDikdasmen @dit_sma @puspresnas @BadanBahasa @KamiVokasi @Itjen_Kemdikbud @litbangdikbud @paudpedia Hari guru ini selalu dirusak emak2 bapak yang sok pengen eksis di sekolah. Gara2 zonasi dan prestasi jalur nilai rapot keterlibatan mereka bagaikan hama gratifikasi. Tolong pak bu sistem pendidikan di rubah agar anak2 bebas merayakan dengan bapak ibu gurunya https://t.co/hOu0RjeYIX","1861736587983462474","https://pbs.twimg.com/media/GdY3j4EbgAATDQb.jpg","Kemdikdasmen","in","","0","0","0","https://x.com/zangpisankk/status/1861736587983462474","1523509626742145026","zangpisankk"
"1861321775738425384","Wed Nov 27 10:13:48 +0000 2024","0","@kompascom Ya setuju sistem zonasi jangan dihapus kalau disempurnakan maaih okelah. Kakau dihapus bakal muncul sekolah2 favorit lagi yg sbenrnya bentuk diskriminasi dalam pendidikan kita.","1861715038874333501","","kompascom","in","","0","0","0","https://x.com/Afakhrudin728/status/1861715038874333501","915229109738803203","Afakhrudin728"
"1861709437045715134","Wed Nov 27 09:51:33 +0000 2024","0","Benar dugaanku. Ada kandidat gubernur yang kemungkinan tidak lolos sistem zonasi. wkwkwk. Mungkin next time perlu pindah KTP dulu :)","1861709437045715134","","","in","Jakarta, Indonesia","0","0","0","https://x.com/imandnugroho/status/1861709437045715134","106312179","imandnugroho"
"1861702217339662435","Wed Nov 27 09:22:52 +0000 2024","1","jangan lupa program kerja make sistem zonasi alias di domisili masing-masing","1861702217339662435","","","in","she/her.","0","0","0","https://x.com/swevenseen/status/1861702217339662435","1084415345740267520","swevenseen"
"1861692362688536897","Wed Nov 27 09:11:01 +0000 2024","0","@_strawbebbiess dia bikin proker untuk orang jkt kerja sistem zonasi sedangkan dia aja orang bandung nyari kerja di jkt. ga jelas ","1861699239208001538","","_strawbebbiess","in","feel free to bub","0","1","0","https://x.com/saturncoff/status/1861699239208001538","1369683975170494468","saturncoff"
"1861651896517423124","Wed Nov 27 06:02:54 +0000 2024","0","PSI Dukung Penuh Permintaan Wapres Gibran Hapus Sistem Zonasi PPDB #PSI #Wapres #Zonasi #PPDB https://t.co/01myxVCGZu","1861651896517423124","","","in","Kota Depok, Jawa Barat","0","0","0","https://x.com/portalinfomase/status/1861651896517423124","1531670208217116673","portalinfomase"
"1861644609887314249","Wed Nov 27 05:33:57 +0000 2024","1","PGRI Dukung Sistem Penerimaan Siswa Baru Dikembalikan ke Gaya Lama... Daripada pakai zonasi yg selalu k8sruh tiap tahun lebih bsik ganti sistem baru yg baik atau kembali ke aturan lama @Kemdikdasmen @PBPGRI_OFFICIAL https://t.co/CDOuTMVSgC","1861644609887314249","","","in","","0","0","1","https://x.com/jari_droid/status/1861644609887314249","1486631613932834819","jari_droid"
"1861587625804796280","Wed Nov 27 04:43:28 +0000 2024","2","@pasifisstate Domisili saya paling parah. Salah satu calon kepala dari partai yang saya sudah muak. Salah satu calon yang lainnya tidak jelas partai pengusungnya dan ada jejak buru nya. Sedangkan satunya kebijakan aneh seperti kerja sistem zonasi ? dan ada jejak burunya juga.","1861631907462815762","","pasifisstate","in","","0","0","1","https://x.com/Aerlangga333/status/1861631907462815762","1449396998612733952","Aerlangga333"
"1861321775738425384","Wed Nov 27 04:39:06 +0000 2024","0","@kompascom Sistem zonasi timbulkan kekacauan diawal penerapan siswa dgn modal KK dapet sekolah favorit . Tapi sekarang dampak pemerataanya sdh mulai kelihatan. Klo pun ada yg ngejar sekolah favorit kuotanya terbatas dan temen2nya byk yg karena domisili lokal masuknya. Jgn diubah2 lagi.","1861630806395101510","","kompascom","in","","0","0","0","https://x.com/Singomakaryo/status/1861630806395101510","1773839114154221568","Singomakaryo"
